#,issue_id,aspect_id,subcategory_id
1075,331,2,27
1076,331,3,36
1077,332,1,22
1078,332,2,27
1079,332,3,36
1080,332,3,42
1081,333,1,26
1082,333,2,27
1083,333,3,36
1084,333,3,42
1085,334,1,19
1086,334,2,27
1087,334,3,36
1088,334,3,42
1089,335,1,23
1090,335,2,30
1091,335,3,42
1092,336,1,25
1093,336,2,30
1094,336,3,36
1095,336,3,35
1096,336,3,41
1097,337,1,19
1098,337,2,27
1099,337,3,41
1100,338,1,19
1101,338,2,31
1102,338,3,41
1103,339,1,24
1104,339,2,30
1105,339,3,41
1106,340,1,22
1107,340,2,31
1108,340,3,41
1109,341,1,22
1110,341,2,31
1111,341,3,34
1112,342,1,25
1113,342,2,30
1114,342,3,41
1115,343,1,26
1116,343,2,28
1117,343,3,42
1118,344,1,26
1119,344,2,28
1120,344,3,42
1121,345,1,24
1122,345,2,27
1123,345,3,36
1124,345,3,42
1125,346,1,24
1126,346,2,27
1127,346,3,42
1128,347,1,24
1129,347,2,27
1130,347,3,34
1131,347,3,42
1132,348,1,26
1133,348,2,28
1134,348,3,39
1135,349,1,22
1136,349,2,27
1137,349,3,42
1138,350,1,22
1139,350,2,31
1140,350,3,42
1141,350,3,36
1142,351,1,23
1143,351,2,31
1144,351,3,43
1145,352,1,22
1146,352,2,31
1147,352,3,41
1148,353,1,23
1149,353,2,31
1150,353,3,43
1151,353,3,42
1152,354,1,22
1153,354,2,31
1154,354,3,34
1155,355,1,22
1156,355,2,31
1157,355,3,43
1158,355,3,36
1159,356,1,22
1160,356,2,29
1161,356,3,34
1162,356,3,39
1163,357,1,22
1164,357,2,31
1165,357,3,41
1166,358,1,22
1167,358,2,31
1168,358,3,41
1169,359,1,22
1170,359,2,31
1171,359,3,36
1172,359,3,42
1173,360,1,19
1174,360,2,31
1175,360,3,42
1176,361,1,19
1177,361,2,31
1178,361,3,37
1179,362,1,22
1180,362,2,31
1181,362,3,36
1182,362,3,42
1183,363,1,19
1184,363,2,28
1185,363,3,41
1186,364,1,23
1187,364,2,31
1188,364,3,43
1189,365,1,22
1190,365,2,31
1191,365,3,42
1192,366,1,23
1193,366,2,27
1194,366,3,42
1195,367,1,23
1196,367,2,27
1197,367,3,42
1198,368,1,19
1199,368,2,27
1200,368,3,35
1201,369,1,23
1202,369,2,27
1203,369,3,42
1204,370,1,19
1205,370,2,27
1206,370,3,41
1207,371,1,25
1208,371,2,27
1209,371,3,42
